"dates"	
"GSM1891989_P13.CEL"	"2014-10-15T19:16:31Z"
"GSM1891990_Q10.CEL"	"2014-10-15T19:30:39Z"
"GSM1891991_Q7.CEL"	"2014-10-15T19:45:13Z"
"GSM1891992_P1.CEL"	"2014-12-11T17:38:06Z"
"GSM1891993_P10.CEL"	"2014-12-11T19:13:38Z"
"GSM1891994_P11.CEL"	"2014-12-11T19:28:03Z"
"GSM1891995_P12.CEL"	"2014-12-11T19:42:15Z"
"GSM1891996_P14.CEL"	"2014-12-11T19:56:09Z"
"GSM1891997_P15.CEL"	"2014-12-11T20:10:23Z"
"GSM1891998_P16.CEL"	"2014-12-11T20:24:36Z"
"GSM1891999_P17.CEL"	"2014-12-11T20:38:52Z"
"GSM1892000_P18.CEL"	"2014-12-11T21:13:20Z"
"GSM1892001_P19.CEL"	"2014-12-11T21:27:24Z"
"GSM1892002_P2.CEL"	"2014-12-11T17:52:21Z"
"GSM1892003_P20.CEL"	"2014-12-11T21:41:39Z"
"GSM1892004_P4.CEL"	"2014-12-11T18:06:44Z"
"GSM1892005_P5.CEL"	"2014-12-11T18:20:48Z"
"GSM1892006_P6.CEL"	"2014-12-11T18:35:06Z"
"GSM1892007_P9.CEL"	"2014-12-11T18:49:11Z"
"GSM1892008_Q1.CEL"	"2014-12-11T21:56:12Z"
"GSM1892009_Q11.CEL"	"2014-12-11T23:53:37Z"
"GSM1892010_Q12.CEL"	"2014-12-12T00:07:51Z"
"GSM1892011_Q13.CEL"	"2014-12-12T00:21:57Z"
"GSM1892012_Q14.CEL"	"2014-12-12T00:36:08Z"
"GSM1892013_Q15.CEL"	"2014-12-12T00:50:11Z"
"GSM1892014_Q16.CEL"	"2014-12-12T01:04:31Z"
"GSM1892015_Q17.CEL"	"2014-12-12T01:18:42Z"
"GSM1892016_Q18.CEL"	"2014-12-12T01:32:47Z"
"GSM1892017_Q19.CEL"	"2014-12-12T01:47:00Z"
"GSM1892018_Q2.CEL"	"2014-12-11T22:10:21Z"
"GSM1892019_Q20.CEL"	"2014-12-12T17:50:38Z"
"GSM1892020_Q4.CEL"	"2014-12-11T22:43:05Z"
"GSM1892021_Q5.CEL"	"2014-12-11T22:57:21Z"
"GSM1892022_Q6.CEL"	"2014-12-11T23:11:14Z"
"GSM1892023_Q8.CEL"	"2014-12-11T23:25:22Z"
"GSM1892024_Q9.CEL"	"2014-12-11T23:39:15Z"
